TimeStamp,ch1,ch2,ch3,ch4
1237794.1013,-22226.77,-28160.58,-17983.77,-16002.94
1237794.1053,-22217.71,-28148.13,-17974.24,-15990.45
1237794.1093,-22211.98,-28146.94,-17970.04,-15985.06
1237794.1133,-22213.51,-28145.79,-17973.62,-15992.26
1237794.1173,-22216.08,-28157.52,-17979.62,-15996.74
1237794.1213,-22224.43,-28158.05,-17989.45,-16000.23
1237794.1253,-22227.19,-28153.57,-17989.26,-15995.74
1237794.1293,-22225.67,-28152.8,-17985.82,-15990.55
1237794.1333,-22245.12,-28170.49,-18005.18,-16017.15
1237794.1373,-22250.13,-28186.42,-18012.67,-16026.69
1237794.1413,-22245.22,-28173.07,-18011.48,-16011.1
1237794.1453,-22247.6,-28176.02,-18017.72,-16008.95
1237794.1493,-22243.93,-28181.13,-18014.05,-16021.35
1237794.1533,-22242.93,-28174.21,-18010.24,-16019.16
1237794.1573,-22237.88,-28179.12,-18005.37,-16017.92
1237794.1613,-22230.96,-28161.72,-17998.27,-16001.75
1237794.1653,-22218.75,-28139.07,-17982.06,-15975.76
1237794.1693,-22225.76,-28151.04,-17986.16,-15984.11
1237794.1733,-22239.54,-28164.06,-17998.51,-16006.23
1237794.1773,-22240.26,-28174.45,-18000.56,-16010.52
1237794.1813,-22223.05,-28144.12,-17979.1,-15979.63
1237794.1853,-22218.85,-28141.79,-17979.19,-15977.81
1237794.1893,-22219.37,-28154.66,-17980.77,-15995.12
1237794.1933,-22219.99,-28153.52,-17982.1,-15999.51
1237794.1973,-22222.52,-28166.77,-17985.58,-16007.62
1237794.2013,-22215.42,-28152.18,-17979.0,-15999.13
1237794.2053,-22216.04,-28149.94,-17980.05,-15995.7
1237794.2093,-22215.89,-28152.23,-17979.39,-15994.98
1237794.2133,-22207.31,-28138.31,-17969.94,-15975.43
1237794.2173,-22216.99,-28157.24,-17980.63,-15989.11
1237794.2213,-22228.2,-28163.96,-17994.79,-16009.57
1237794.2253,-22234.01,-28167.06,-18001.37,-16017.01
1237794.2293,-22228.53,-28160.53,-17991.69,-16001.7
1237794.2333,-22222.28,-28145.36,-17982.2,-15981.68
1237794.2373,-22226.24,-28163.15,-17989.07,-15997.17
1237794.2413,-22230.44,-28166.01,-17992.93,-16011.34
1237794.2453,-22220.19,-28150.56,-17982.53,-15999.89
1237794.2493,-22223.9,-28162.05,-17985.92,-16011.19
1237794.2533,-22236.64,-28166.06,-17994.36,-16010.95
1237794.2573,-22234.73,-28173.88,-17995.31,-16010.14
1237794.2613,-22219.52,-28146.37,-17981.58,-15980.82
1237794.2653,-22212.08,-28133.82,-17975.52,-15968.99
1237794.2693,-22214.37,-28142.31,-17976.48,-15983.06
