TimeStamp,ch1,ch2
340320.3595,15958.41,14774.61
340320.3635,16122.58,14933.92
340320.3675,16119.86,14927.58
340320.3715,16057.83,14866.5
340320.3755,15965.13,14780.57
340320.3795,15955.12,14777.85
340320.3835,16116.86,14935.35
340320.3875,16117.15,14928.77
340320.3915,16053.34,14869.02
340320.3955,15963.27,14783.05
340320.3995,15956.45,14776.42
340320.4035,16120.58,14927.77
340320.4075,16125.44,14927.01
340320.4115,16058.45,14864.83
340320.4155,15971.38,14779.24
340320.4195,15962.41,14777.57
340320.4235,16119.29,14937.83
340320.4275,16115.86,14926.72
340320.4315,16055.78,14864.49
340320.4355,15969.33,14782.1
340320.4395,15955.64,14776.71
340320.4435,16112.62,14934.11
340320.4475,16117.15,14926.53
340320.4515,16055.06,14856.05
340320.4555,15966.08,14774.04
340320.4595,15966.37,14787.1
340320.4635,16123.01,14949.47
340320.4675,16118.72,14936.31
340320.4715,16060.16,14873.79
340320.4755,15970.66,14787.48
340320.4795,15954.07,14780.0
340320.4835,16116.53,14935.3
340320.4874,16120.72,14933.3
340320.4914,16060.35,14873.27
340320.4954,15973.76,14791.68
340320.4994,15959.5,14784.1
340320.5034,16116.29,14938.4
340320.5074,16115.81,14928.87
340320.5114,16054.2,14870.12
340320.5154,15968.61,14786.63
340320.5194,15950.82,14776.99
340320.5234,16106.27,14927.25
340320.5274,16117.62,14928.34
340320.5314,16055.25,14868.79
340320.5354,15963.75,14784.0
340320.5394,15949.2,14775.85
340320.5434,16108.28,14932.49
340320.5474,16114.19,14929.96
340320.5514,16057.49,14871.93
340320.5554,15970.18,14793.25
340320.5594,15956.55,14783.24
340320.5634,16112.0,14934.4
340320.5674,16112.62,14933.11
340320.5714,16055.11,14873.79
340320.5754,15969.23,14788.01
340320.5794,15956.31,14785.2
340320.5834,16115.38,14940.36
340320.5874,16119.91,14937.83
340320.5914,16058.88,14875.37
340320.5954,15975.33,14794.26
340320.5994,15960.55,14786.91
340320.6034,16119.63,14942.12
340320.6074,16124.06,14939.69
340320.6114,16060.83,14879.13
340320.6154,15977.05,14800.5
340320.6193,15962.89,14786.05
340320.6233,16122.77,14943.22
340320.6273,16127.64,14946.51
340320.6313,16065.03,14882.23
340320.6353,15977.43,14800.5
340320.6393,15959.6,14786.87
340320.6433,16109.52,14936.88
340320.6473,16116.76,14935.16
340320.6513,16062.07,14874.75
340320.6553,15974.91,14795.92
340320.6593,15958.74,14789.25
340320.6633,16121.68,14945.03
340320.6673,16130.93,14943.94
340320.6713,16071.13,14881.76
340320.6753,15990.21,14802.41
340320.6793,15967.47,14782.86
340320.6833,16119.67,14933.02
340320.6873,16129.92,14937.83
340320.6913,16070.37,14881.9
340320.6953,15982.34,14802.17
340320.6993,15958.45,14784.48
340320.7033,16116.81,14935.78
340320.7073,16128.11,14938.21
340320.7113,16065.98,14877.23
