70.6210,-1826.33,-2336.98,-2002.14,-2372.84,-2224.49,-2085.78,-2134.13,-2158.93,-2405.26,-2147.25,-2217.15,-2063.75,-2305.13,-2310.61,-2296.88,-2502.44
70.6250,-1725.72,-2237.84,-1901.82,-2272.13,-2125.93,-1986.36,-2033.57,-2058.70,-2305.56,-2048.06,-2117.82,-1964.04,-2205.71,-2209.66,-2196.26,-2402.21
70.6290,-1657.06,-2168.37,-1833.63,-2203.42,-2057.17,-1917.51,-1965.57,-1990.13,-2236.94,-1980.11,-2050.88,-1896.05,-2137.14,-2141.57,-2127.12,-2332.93
70.6330,-1565.03,-2076.34,-1741.84,-2112.96,-1964.66,-1825.00,-1873.92,-1899.67,-2146.20,-1888.47,-1959.18,-1804.92,-2045.20,-2051.16,-2035.67,-2241.52
70.6370,-1472.04,-1983.83,-1650.10,-2020.55,-1872.40,-1732.44,-1781.80,-1807.55,-2054.02,-1796.67,-1866.05,-1712.99,-1953.08,-1957.99,-1943.92,-2150.39
70.6410,-1356.74,-1868.20,-1532.89,-1902.63,-1754.57,-1616.86,-1664.35,-1690.01,-1938.06,-1679.71,-1749.47,-1596.26,-1836.49,-1841.55,-1827.43,-2033.76
70.6450,-1181.70,-1692.49,-1356.55,-1727.20,-1580.29,-1441.86,-1489.50,-1515.25,-1763.06,-1504.61,-1575.28,-1421.31,-1661.59,-1667.07,-1652.77,-1859.62
70.6490,-1009.85,-1522.02,-1185.85,-1557.11,-1409.77,-1271.34,-1318.93,-1341.87,-1593.11,-1334.38,-1404.48,-1250.12,-1491.59,-1496.41,-1481.49,-1688.43
70.6530,-835.32,-1346.64,-1011.85,-1381.92,-1235.58,-1096.73,-1143.55,-1166.73,-1418.92,-1160.91,-1230.10,-1076.22,-1316.83,-1322.51,-1307.34,-1514.63
70.6570,-643.54,-1155.00,-819.73,-1190.95,-1043.84,-904.61,-951.86,-975.32,-1226.81,-968.50,-1038.36,-885.30,-1125.62,-1130.77,-1115.42,-1322.70
70.6610,-491.71,-1004.55,-667.38,-1038.60,-891.73,-752.31,-800.99,-823.45,-1074.93,-817.01,-886.96,-732.90,-974.23,-980.23,-964.98,-1171.40
70.6650,-268.41,-780.77,-443.51,-815.20,-669.57,-528.29,-576.59,-600.53,-851.82,-595.24,-664.95,-510.84,-750.88,-757.55,-742.77,-948.48
70.6690,-34.14,-545.55,-209.52,-579.64,-433.68,-293.83,-341.42,-365.40,-617.79,-360.06,-430.58,-275.90,-516.84,-523.47,-507.78,-714.35
70.6730,151.06,-359.96,-23.84,-392.87,-247.48,-107.53,-154.21,-180.10,-430.82,-173.38,-244.57,-91.12,-331.02,-337.08,-322.49,-528.14
70.6770,332.74,-177.29,156.55,-212.24,-65.99,73.39,27.42,1.24,-250.34,7.77,-63.37,90.36,-149.30,-155.88,-141.38,-347.42
70.6810,531.34,19.93,354.96,-13.88,131.80,271.13,223.30,199.22,-55.03,204.23,133.18,287.72,47.35,40.25,55.89,-150.73
70.6850,755.69,245.43,580.45,210.86,356.63,495.20,448.75,424.58,169.90,427.82,358.49,512.08,271.84,264.84,279.38,72.62
70.6890,955.34,445.08,781.35,410.46,558.90,696.61,649.40,625.13,371.17,628.81,559.04,711.73,471.40,465.39,479.51,272.08
70.6930,1148.18,637.10,974.80,603.39,750.11,890.45,843.72,818.16,563.10,821.11,751.30,904.37,664.04,656.84,672.01,465.77
70.6970,1296.57,785.73,1121.90,751.69,897.36,1037.55,990.68,966.02,710.20,968.36,897.69,1052.28,811.00,804.19,819.25,612.35
70.7010,1417.68,906.75,1244.12,873.61,1019.43,1158.76,1113.08,1088.52,830.65,1088.71,1019.05,1173.69,932.41,925.68,940.75,732.57
70.7050,1607.23,1096.53,1434.85,1064.11,1209.93,1349.21,1302.81,1278.31,1021.15,1278.59,1208.50,1362.13,1122.52,1115.18,1130.63,922.82
